
State Machine - |epRISC_iocontroller|rPipeState
Name rPipeState.00111 rPipeState.00110 rPipeState.00101 rPipeState.00100 rPipeState.00011 rPipeState.00010 rPipeState.00001 
rPipeState.00001 0 0 0 0 0 0 0 
rPipeState.00010 0 0 0 0 0 1 1 
rPipeState.00011 0 0 0 0 1 0 1 
rPipeState.00100 0 0 0 1 0 0 1 
rPipeState.00101 0 0 1 0 0 0 1 
rPipeState.00110 0 1 0 0 0 0 1 
rPipeState.00111 1 0 0 0 0 0 1 

State Machine - |epRISC_iocontroller|rPipePrevState
Name rPipePrevState.00111 rPipePrevState.00110 rPipePrevState.00101 rPipePrevState.00100 rPipePrevState.00011 rPipePrevState.00010 rPipePrevState.00001 
rPipePrevState.00001 0 0 0 0 0 0 0 
rPipePrevState.00010 0 0 0 0 0 1 1 
rPipePrevState.00011 0 0 0 0 1 0 1 
rPipePrevState.00100 0 0 0 1 0 0 1 
rPipePrevState.00101 0 0 1 0 0 0 1 
rPipePrevState.00110 0 1 0 0 0 0 1 
rPipePrevState.00111 1 0 0 0 0 0 1 
